,TIME,NB,SB,EB,WB,date
0,00:00:00,0,0,4,5,2019-06-04
1,00:15:00,0,0,5,4,2019-06-04
2,00:30:00,0,0,7,4,2019-06-04
3,00:45:00,0,0,3,6,2019-06-04
4,01:00:00,0,0,3,5,2019-06-04
5,01:15:00,0,0,1,0,2019-06-04
6,01:30:00,0,0,0,0,2019-06-04
7,01:45:00,0,0,0,1,2019-06-04
8,02:00:00,0,0,0,1,2019-06-04
9,02:15:00,0,0,2,1,2019-06-04
10,02:30:00,0,0,3,0,2019-06-04
11,02:45:00,0,0,2,1,2019-06-04
12,03:00:00,0,0,1,1,2019-06-04
13,03:15:00,0,0,4,2,2019-06-04
14,03:30:00,0,0,0,1,2019-06-04
15,03:45:00,0,0,1,0,2019-06-04
16,04:00:00,0,0,2,2,2019-06-04
17,04:15:00,0,0,2,2,2019-06-04
18,04:30:00,0,0,0,3,2019-06-04
19,04:45:00,0,0,5,5,2019-06-04
20,05:00:00,0,0,8,8,2019-06-04
21,05:15:00,0,0,7,4,2019-06-04
22,05:30:00,0,0,8,7,2019-06-04
23,05:45:00,0,0,9,7,2019-06-04
24,06:00:00,0,0,12,13,2019-06-04
25,06:15:00,0,0,14,13,2019-06-04
26,06:30:00,0,0,27,19,2019-06-04
27,06:45:00,0,0,30,16,2019-06-04
28,07:00:00,0,0,34,39,2019-06-04
29,07:15:00,0,0,48,36,2019-06-04
30,07:30:00,0,0,74,81,2019-06-04
31,07:45:00,0,0,129,115,2019-06-04
32,08:00:00,0,0,128,131,2019-06-04
33,08:15:00,0,0,144,96,2019-06-04
34,08:30:00,0,0,91,78,2019-06-04
35,08:45:00,0,0,93,74,2019-06-04
36,09:00:00,0,0,82,76,2019-06-04
37,09:15:00,0,0,67,63,2019-06-04
38,09:30:00,0,0,67,58,2019-06-04
39,09:45:00,0,0,55,54,2019-06-04
40,10:00:00,0,0,51,55,2019-06-04
41,10:15:00,0,0,41,33,2019-06-04
42,10:30:00,0,0,34,37,2019-06-04
43,10:45:00,0,0,57,60,2019-06-04
44,11:00:00,0,0,35,42,2019-06-04
45,11:15:00,0,0,59,50,2019-06-04
46,11:30:00,0,0,46,63,2019-06-04
47,11:45:00,0,0,65,64,2019-06-04
48,12:00:00,0,0,54,57,2019-06-04
49,12:15:00,0,0,48,55,2019-06-04
50,12:30:00,0,0,45,61,2019-06-04
51,12:45:00,0,0,58,65,2019-06-04
52,13:00:00,0,0,47,52,2019-06-04
53,13:15:00,0,0,54,56,2019-06-04
54,13:30:00,0,0,59,40,2019-06-04
55,13:45:00,0,0,53,44,2019-06-04
56,14:00:00,0,0,60,48,2019-06-04
57,14:15:00,0,0,77,61,2019-06-04
58,14:30:00,0,0,101,100,2019-06-04
59,14:45:00,0,0,93,115,2019-06-04
60,15:00:00,0,0,149,177,2019-06-04
61,15:15:00,0,0,114,180,2019-06-04
62,15:30:00,0,0,88,126,2019-06-04
63,15:45:00,0,0,109,127,2019-06-04
64,16:00:00,0,0,106,115,2019-06-04
65,16:15:00,0,0,92,120,2019-06-04
66,16:30:00,0,0,83,108,2019-06-04
67,16:45:00,0,0,108,133,2019-06-04
68,17:00:00,0,0,73,139,2019-06-04
69,17:15:00,0,0,107,154,2019-06-04
70,17:30:00,0,0,85,167,2019-06-04
71,17:45:00,0,0,130,141,2019-06-04
72,18:00:00,0,0,96,130,2019-06-04
73,18:15:00,0,0,74,102,2019-06-04
74,18:30:00,0,0,86,56,2019-06-04
75,18:45:00,0,0,81,78,2019-06-04
76,19:00:00,0,0,72,104,2019-06-04
77,19:15:00,0,0,56,86,2019-06-04
78,19:30:00,0,0,78,68,2019-06-04
79,19:45:00,0,0,56,68,2019-06-04
80,20:00:00,0,0,49,59,2019-06-04
81,20:15:00,0,0,49,54,2019-06-04
82,20:30:00,0,0,46,46,2019-06-04
83,20:45:00,0,0,45,45,2019-06-04
84,21:00:00,0,0,43,38,2019-06-04
85,21:15:00,0,0,44,35,2019-06-04
86,21:30:00,0,0,35,34,2019-06-04
87,21:45:00,0,0,30,17,2019-06-04
88,22:00:00,0,0,18,26,2019-06-04
89,22:15:00,0,0,21,20,2019-06-04
