File name,City,On street,Cross street
Warm Springs Blvd betw. Warren & Kato.xlsx,Fremont,Warm Springs Blvd,200' s/o Starlite
Durham Rd.xlsx,Fremont,Durham Road,Between Arapaho and Paseo Padre
EB Washngton Blvd at Olive.xls,Fremont,EB Washington Blvd,300' w/o Olive
WB Washington Blvd at Gallegos.xls,Fremont,WB Washington Blvd,200' w/o Gallegos
EB Washington Blvd at Palm.xls,Fremont,EB Washington Blvd,150' w/o Palm Ave
Washington Blvd at Olive.xlsx,Fremont,Washington Blvd,300' e/o Olive
Mission Blvd betw. Durham & I680.xlsx,Fremont,Mission Blvd,Between Grimmer and Stanford
Driscoll Rd betw. PPP & Washington.xlsx,Fremont,Driscoll Road,Between Beatrice and Carmen
Driscoll Rd betw. Mission & PPP.xlsx,Fremont,Driscoll Road,Between Durillo and Chiltern
Washington Blvd at Castillejo.xlsx,Fremont,Washington Blvd,200' e/o Castillejo 
Washington Blvd betw. PPP & Mission.xlsx,Fremont,Washington Blvd,Between Bryant and Ellsworth
S. Grimmer Blvd betw PPP & Osgood.xlsx,Fremont,Grimmer Blvd (South),Between 680 and Parkmeadow
Osgood Blvd betw. Auto Mall & Grimmer.xlsx,Fremont,Osgood Road,Between Skyway and Prune
Paseo Padre Pkwy betw. S. Grimmer & Mission.xlsx,Fremont,Paseo Padre Parkway,Between Concho and Indian Hill
Paseo Padre Pkwy betw. Durham & S. Grimmer.xlsx,Fremont,Paseo Padre Parkway,Between Blackfoot and Parkmeadow
Mission Blvd betw. Washington & Pine.xlsx,Fremont,Mission Blvd,Between Mission Tierra and Anza
Warm Springs Blvd betw. Mission & Warren.xlsx,Fremont,Warm Springs Blvd,Between Warren and Shale
EB Washington Blvd at Gallegos.xls,Fremont,EB Washington Blvd,200' w/o Gallegos
Warren Ave betw. Warm Springs & I880.xlsx,Fremont,Warren Avenue,Between Mission Falls and railroad tracks
Paseo Padre Pkwy betw. Mission & Curtner.xlsx,Fremont,Paseo Padre Parkway,Between Klamath and Sundance
Mission Blvd betw. Pine & Durham.xlsx,Fremont,Mission Blvd,Between Hunter and Pilgrim Loop
Paseo Padre Pkwy betw. Washington & Durham.xlsx,Fremont,Paseo Padre Parkway,Between Vista Del Mar and Pine
S. Grimmer Blvd betw. Osgood & Fremont.xlsx,Fremont,Grimmer Blvd (South),400' w/o Old Warm Springs
Osgood Rd betw. Washington & Auto Mall.xlsx,Fremont,Osgood Road,300' n/o Blacow
Warren Ave betw. Curtner & Warm Springs.xlsx,Fremont,Warren Avenue,Between Bradley and Fernald
Warm Springs Blvd betw. S. Grmmer & Mission.xlsx,Fremont,Warm Springs Blvd,200' n/o Brown
Washington Blvd betw. Union & Driscoll.xlsx,Fremont,Washington Blvd,Between Union and Roberts
Mission Blvd betw. I680 & I880.xlsx,Fremont,Mission Blvd,Between Warm Springs and Mohave
Mission Blvd betw. I680 & Washington.xlsx,Fremont,Mission Blvd,200' s/o Mill Creek
Mission Blvd betw. Driscoll & I680.xlsx,Fremont,Mission Blvd,Between Mission Ridge and Callery
WB Washington Blvd at Ellsworth.xls,Fremont,WB Washington Blvd,100' e/o Ellsworth
Auto Mall Pkwy betw. Fremont & I680.xlsx,Fremont,Auto Mall Parkway,Between Fremont and Osgood
