Name,City,Main road,Cross road,Start lat,Start lng,End lat,End lng
AUTO MALL PKWY BT FREMONT BLVD AND I680.xlsx,Fremont,Auto Mall Pkwy,Fremont Blvd And I680,37.5120962,-121.9511975,37.5076894,-121.9665398
DRISCOLL RD BT COMAC TERRACE AND DENISE ST.xlsx,Fremont,Driscoll Rd,Comac Terrace And Denise St,37.5417999,-121.9475293,37.5379431,-121.9512488
DRISCOLL RD BT HARRINGTON ST AND DURILLO DR.xlsx,Fremont,Driscoll Rd,Harrington St And Durillo Dr,37.5424122,-121.9469691,37.5434945,-121.9459868
DURHAM RD BT I680 AND LAUREL CANYON WAY.xlsx,Fremont,Durham Rd,I680 And Laurel Canyon Way,37.5147259,-121.9288997,37.514091,-121.932675
FARWELL DR BT BROPHY DR AND FLAMINGO LN.xlsx,Fremont,Farwell Dr,Brophy Dr And Flamingo Ln,37.5339933,-122.0038463,37.5313442,-121.9967116
GRIMMER BLVD BT OSGOOD RD AND FREMONT BLVD.xlsx,Fremont,Grimmer Blvd,Osgood Rd And Fremont Blvd,37.5052614,-121.9377826,37.5364522,-121.9655703
GRIMMER BLVD BT PASEO PADRE PKWY AND OSGOOD RD.xlsx,Fremont,Grimmer Blvd,Paseo Padre Pkwy And Osgood Rd,37.5415855,-121.9607775,37.5052614,-121.9377826
MISSION BLVD BT DRISCOLL RD AND I 680 NB.pdf,Fremont,Mission Blvd,Driscoll Rd And I 680 Nb,37.5497624,-121.9399602,37.53915,-121.92364
MISSION BLVD BT DRISCOLL RD AND I 680 SB.pdf,Fremont,Mission Blvd,Driscoll Rd And I 680 Sb,37.5497624,-121.9399602,37.53915,-121.92364
MISSION BLVD BT DURHAM RD AND CURTNER RD.xlsx,Fremont,Mission Blvd,Durham Rd And Curtner Rd,37.5136269,-121.9194106,37.4972833,-121.9206722
MISSION BLVD BT MOHAVE DR AND WARM SPRINGS BLVD EB.pdf,Fremont,Mission Blvd,Mohave Dr And Warm Springs Blvd Eb,37.492103,-121.9268566,37.4900145,-121.9296492
MISSION BLVD BT MOHAVE DR AND WARM SPRINGS BLVD WB.pdf,Fremont,Mission Blvd,Mohave Dr And Warm Springs Blvd Wb,37.492103,-121.9268566,37.4900145,-121.9296492
MISSION BLVD S OF MISSION RD SIGNAL.xlsx,Fremont,Mission Blvd,Mission Rd,37.53956,-121.9238021,,
MISSION BLVD S OF WASHINGTON BLVD SIGNAL.xlsx,Fremont,Mission Blvd,Washington Blvd,37.5334051,-121.9200877,,
OSGOOD RD BT AUTO MALL PKWY AND GRIMMER BLVD.xlsx,Fremont,Osgood Rd,Auto Mall Pkwy And Grimmer Blvd,37.5139048,-121.9426157,37.5052614,-121.9377826
OSGOOD RD BT WASHINGTON BLVD AND AUTO MALL PKWY.xlsx,Fremont,Osgood Rd,Washington Blvd And Auto Mall Pkwy,37.5333091,-121.9534987,37.5139048,-121.9426157
PAGE AVE BT KATO RD AND MILMONT DR.xlsx,Fremont,Page Ave,Kato Rd And Milmont Dr,37.467891,-121.9278693,37.4688514,-121.9251185
PASEO PADRE PKWY BT CAMINO DEL CAMPO AND PINE ST.xlsx,Fremont,Paseo Padre Pkwy,Camino Del Campo And Pine St,37.5205218,-121.9251071,37.5235673,-121.9284821
PASEO PADRE PKWY BT CHADBOURNE DR AND COVINGTON DR.xlsx,Fremont,Paseo Padre Pkwy,Chadbourne Dr And Covington Dr,37.5396961,-121.9440984,37.5387463,-121.9393312
PASEO PADRE PKWY BT MISSION BLVD AND CURTNER RD.xlsx,Fremont,Paseo Padre Pkwy,Mission Blvd And Curtner Rd,37.5003147,-121.9194104,37.4956742,-121.9141113
PASEO PADRE PKWY BT ONONDAGA WAY AND MISSION BLVD.xlsx,Fremont,Paseo Padre Pkwy,Onondaga Way And Mission Blvd,37.5053937,-121.9273542,37.5003147,-121.9194104
PASEO PADRE PKWY BT PARKMEADOW DR AND BLACKFOOT DR.xlsx,Fremont,Paseo Padre Pkwy,Parkmeadow Dr And Blackfoot Dr,37.510503,-121.9306933,37.512573,-121.9315001
PINE ST BT SOUTHERLAND WAY AND DUBAL CT.xlsx,Fremont,Pine St,Southerland Way And Dubal Ct,37.5212556,-121.9323234,37.5202499,-121.9311311
PINE ST E OF PASEO PADRE PKWY STOP SIGN.xlsx,Fremont,Pine St,Paseo Padre Pkwy,37.5235673,-121.9284821,,
S GRIMMER BLVD BT PASEO PADRE PRKY AND MISSION BLVD EB.pdf,Fremont,S Grimmer Blvd,Paseo Padre Prky And Mission Blvd Eb,37.5073396,-121.9282451,37.506647,-121.9198326
S GRIMMER BLVD BT PASEO PADRE PRKY AND MISSION BLVD WB.pdf,Fremont,S Grimmer Blvd,Paseo Padre Prky And Mission Blvd Wb,37.5073396,-121.9282451,37.506647,-121.9198326
WARM SPRINGS BLVD BT BROWN RD AND WARREN AVE.xlsx,Fremont,Warm Springs Blvd,Brown Rd And Warren Ave,37.4941027,-121.9318278,37.4871224,-121.9280083
WARM SPRINGS BLVD BT GRIMMER BLVD AND BROWN RD.xlsx,Fremont,Warm Springs Blvd,Grimmer Blvd And Brown Rd,37.5051352,-121.9378996,37.4941027,-121.9318278
WARREN AVE BT CURTNER RD AND WARM SPRINGS BLVD.xlsx,Fremont,Warren Ave,Curtner Rd And Warm Springs Blvd,37.4956742,-121.9141113,37.4871224,-121.9280083
WASHINGTON BLVD BT GALLEGOS AVE AND Adelina Cm.xlsx,Fremont,Washington Blvd,Gallegos Ave And Adelina Cm,37.5322204,-121.929816,37.532523,-121.9274214
WASHINGTON BLVD W OF PASEO PADRE PKWY SIGNAL.xlsx,Fremont,Washington Blvd,Paseo Padre Pkwy,37.5316567,-121.9342,,
