OBJECTID,Shape_Length,Name,Direction,2013,2017,2019
4,0.014691227,Mission blvd WmSpr PPP SB,SB,18,84,138
8,0.014910005,Mission blvd WmSpr PPP SB,NB,17,83,137
11,0.011642008,AutoMailPkwy  FremontBlvd i680,WB,2,65,122
12,0.011798772,AutoMailPkwy  FremontBlvd i680,EB,1,66,121
13,0.011500209,SGrimmerBlvd FremontBlvd WarmSpringBlvd,WB,40,75,159
14,0.011478129,SGrimmerBlvd FremontBlvd WarmSpringBlvd,EB,39,76,160
15,0.00847602,SGrimmerBlvd PPP MissionBlvd,WB,15,110,130
16,0.008453921,SGrimmerBlvd PPP MissionBlvd,EB,16,109,129
17,0.009755851,EwarrenAve  WSBlvd Sinclairfwy,WB,47 - 48 - 49 - 50,93 - 94 - 115 - 116,169 - 170
18,0.009759516,EwarrenAve  WSBlvd Sinclairfwy,WB,47 - 48 - 49 - 50,93 - 94 - 115 - 116,169 - 170
21,0.009897369,DiscrollRd WashtonBlvd PPP,NB,5,68,127
22,0.010007065,DiscrollRd WashtonBlvd PPP,SB,6,67 - 73 - 74,128
23,0.011826733,DiscrollRd PPP MissionBlvd,NB,4,69,126
24,0.011743333,DiscrollRd PPP MissionBlvd,SB,3,70,125
32,0.018065508,MissionBlvd DiscrollRd  I680,NB,13,79,131
33,0.017238414,MissionBlvd DiscrollRd  I680,SB,14,80,132
34,0.008185724,PPP Duram RD SGrimmer,WB,29,103,153
35,0.00822313,PPP Duram RD SGrimmer,EB,30,104,154
36,0.009886372,OsgoodRd SGrimmer AutoMail Pkwy,NB,25,89,143
37,0.009694143,OsgoodRd SGrimmer AutoMail Pkwy,SB,26,90,144
38,0.022024137,OsgoodRd  WashtonBlvd AutoPwky,NB,27,91,145
39,0.022079118,OsgoodRd  WashtonBlvd AutoPwky,SB,28 - 59 - 60,92,146
40,0.020056117,DurhamRd I680 MissionBlv,WB,8,71,124
41,0.02015943,DurhamRd I680 MissionBlv,EB,7,72,123
42,0.011908783,PPP SGrimmer MissionBlvd,NB,33,101,155
43,0.012205278,PPP SGrimmer MissionBlvd,SB,34,102,156
46,0.017705314,PPP MIssionBlvd I680,NB,32,99,171
47,0.017034071,PPP MIssionBlvd I680,SB,31,100,172
48,0.00311898,Warm Spring Warren Mission blvd,NB,43,111,163
49,0.003057298,Warm Spring Warren Mission blvd,SB,44 - 51 - 52,112,164
50,0.017291009,Warm Spring Mission blvd Grimmer NB,NB,45,113,165 - 167
51,0.01738029,Warm Spring Mission blvd Grimmer SB,SB,46,114,166 - 168
52,0.008483885,Mission blvd Washington I680 NB,NB,19,85,135
53,0.008936011,Mission blvd Washington I680 SB,SB,20,86,136
54,0.00754271,Mission blvd Pine Washington SB,SB,24,88,142
55,0.00757042,Mission blvd Pine Washington NB,SB,23,87,141
56,0.009505142,Grimmer Osgood PPP WB,WB,37,78,162
57,0.009506034,Grimmer Osgood PPP EB,EB,38,77,161
58,0.024848225,PPP Durham Washington SB,SB,36,96,158
59,0.02479534,PPP Durham Washington NB,NB,35,95,157
60,0.006935528,Mission Durham Grimmer SB,SB,,82,134
61,0.006815017,Mission Durham Grimmer NB,NB,,81,133
62,0.012539875,Mission Pine Durham SB,SB,22,,140
63,0.012634798,Mission Pine Durham NB,NB,21,,139
64,0.00609824,Mission Grimmer PPP NB,NB,,,
65,0.006135003,Mission Grimmer PPP SB,SB,,,
66,0.018617081,PPP Washington Driscoll SB,SB,,98,152
67,0.018718597,PPP Washington Driscoll NB,NB,,97,151
68,0.019494196,Washington PPP Driscoll WB,WB,54 - 56,119,173
69,0.019522192,Washington PPP Driscoll EB,EB,11 - 53 - 55,120,174
70,0.013999803,Washington Mission PPP EB,EB,9 - 10 - 57,118,176
71,0.014035282,Washington Mission PPP WB,WB,41 - 42 - 58,117,175
72,0.011692935,Pine Mission PPP WB,WB,,,148
73,0.011647911,Pine Mission PPP EB,EB,,,147
74,0.022306311,Pine PPP I680 WB,WB,,106 - 107,150
75,0.022288699,Pine PPP I680 EB,EB,,105 - 108,149
